from	to	combined_score	Protein1	Protein2
9606.ENSP00000278407	9606.ENSP00000313437	169	SERPING1	MMP19
9606.ENSP00000278407	9606.ENSP00000313437	169	SERPING1	MMP19
9606.ENSP00000242728	9606.ENSP00000313967	157	BHLHE41	C1QB
9606.ENSP00000242728	9606.ENSP00000313967	157	BHLHE41	C1QB
9606.ENSP00000262113	9606.ENSP00000313967	160	MYOM2	C1QB
9606.ENSP00000262113	9606.ENSP00000313967	160	MYOM2	C1QB
9606.ENSP00000265113	9606.ENSP00000313967	226	SLC1A3	C1QB
9606.ENSP00000265113	9606.ENSP00000313967	226	SLC1A3	C1QB
9606.ENSP00000278407	9606.ENSP00000313967	980	SERPING1	C1QB
9606.ENSP00000278407	9606.ENSP00000313967	980	SERPING1	C1QB
9606.ENSP00000289707	9606.ENSP00000313967	568	SLAMF8	C1QB
9606.ENSP00000289707	9606.ENSP00000313967	568	SLAMF8	C1QB
9606.ENSP00000301887	9606.ENSP00000313967	277	BATF2	C1QB
9606.ENSP00000301887	9606.ENSP00000313967	277	BATF2	C1QB
9606.ENSP00000313437	9606.ENSP00000313967	158	MMP19	C1QB
9606.ENSP00000313437	9606.ENSP00000313967	158	MMP19	C1QB
9606.ENSP00000278407	9606.ENSP00000318982	300	SERPING1	EPSTI1
9606.ENSP00000278407	9606.ENSP00000318982	300	SERPING1	EPSTI1
9606.ENSP00000289707	9606.ENSP00000318982	246	SLAMF8	EPSTI1
9606.ENSP00000289707	9606.ENSP00000318982	246	SLAMF8	EPSTI1
9606.ENSP00000301887	9606.ENSP00000318982	406	BATF2	EPSTI1
9606.ENSP00000301887	9606.ENSP00000318982	406	BATF2	EPSTI1
9606.ENSP00000318982	9606.ENSP00000321386	256	EPSTI1	FBXO39
9606.ENSP00000318982	9606.ENSP00000321386	256	EPSTI1	FBXO39
9606.ENSP00000155093	9606.ENSP00000322408	971	ZFY	KDM5D
9606.ENSP00000155093	9606.ENSP00000322408	971	ZFY	KDM5D
9606.ENSP00000250784	9606.ENSP00000322408	999	RPS4Y1	KDM5D
9606.ENSP00000250784	9606.ENSP00000322408	999	RPS4Y1	KDM5D
9606.ENSP00000262113	9606.ENSP00000322408	163	MYOM2	KDM5D
9606.ENSP00000262113	9606.ENSP00000322408	163	MYOM2	KDM5D
9606.ENSP00000321386	9606.ENSP00000329522	398	FBXO39	SPDYE4
9606.ENSP00000321386	9606.ENSP00000329522	398	FBXO39	SPDYE4
9606.ENSP00000222462	9606.ENSP00000331242	286	WNT16	KREMEN1
9606.ENSP00000222462	9606.ENSP00000331242	286	WNT16	KREMEN1
9606.ENSP00000155093	9606.ENSP00000331704	172	ZFY	XKR3
9606.ENSP00000155093	9606.ENSP00000331704	172	ZFY	XKR3
9606.ENSP00000250784	9606.ENSP00000331704	194	RPS4Y1	XKR3
9606.ENSP00000250784	9606.ENSP00000331704	194	RPS4Y1	XKR3
9606.ENSP00000322408	9606.ENSP00000331704	158	KDM5D	XKR3
9606.ENSP00000322408	9606.ENSP00000331704	158	KDM5D	XKR3
9606.ENSP00000216214	9606.ENSP00000337478	283	FAM118A	ARL17A
9606.ENSP00000216214	9606.ENSP00000337478	283	FAM118A	ARL17A
9606.ENSP00000278407	9606.ENSP00000338260	163	SERPING1	APOL4
9606.ENSP00000278407	9606.ENSP00000338260	163	SERPING1	APOL4
9606.ENSP00000289707	9606.ENSP00000338260	249	SLAMF8	APOL4
9606.ENSP00000289707	9606.ENSP00000338260	249	SLAMF8	APOL4
9606.ENSP00000301887	9606.ENSP00000338260	376	BATF2	APOL4
9606.ENSP00000301887	9606.ENSP00000338260	376	BATF2	APOL4
9606.ENSP00000331242	9606.ENSP00000338260	178	KREMEN1	APOL4
9606.ENSP00000331242	9606.ENSP00000338260	178	KREMEN1	APOL4
9606.ENSP00000262648	9606.ENSP00000341843	223	ANOS1	ETV7
9606.ENSP00000262648	9606.ENSP00000341843	223	ANOS1	ETV7
9606.ENSP00000278407	9606.ENSP00000341843	386	SERPING1	ETV7
9606.ENSP00000278407	9606.ENSP00000341843	386	SERPING1	ETV7
9606.ENSP00000289707	9606.ENSP00000341843	182	SLAMF8	ETV7
9606.ENSP00000289707	9606.ENSP00000341843	182	SLAMF8	ETV7
9606.ENSP00000301887	9606.ENSP00000341843	866	BATF2	ETV7
9606.ENSP00000301887	9606.ENSP00000341843	866	BATF2	ETV7
9606.ENSP00000313967	9606.ENSP00000341843	159	C1QB	ETV7
9606.ENSP00000313967	9606.ENSP00000341843	159	C1QB	ETV7
9606.ENSP00000318982	9606.ENSP00000341843	294	EPSTI1	ETV7
9606.ENSP00000318982	9606.ENSP00000341843	294	EPSTI1	ETV7
9606.ENSP00000338260	9606.ENSP00000341843	324	APOL4	ETV7
9606.ENSP00000338260	9606.ENSP00000341843	324	APOL4	ETV7
9606.ENSP00000155093	9606.ENSP00000342812	999	ZFY	USP9Y
9606.ENSP00000155093	9606.ENSP00000342812	999	ZFY	USP9Y
9606.ENSP00000250784	9606.ENSP00000342812	957	RPS4Y1	USP9Y
9606.ENSP00000250784	9606.ENSP00000342812	957	RPS4Y1	USP9Y
9606.ENSP00000262648	9606.ENSP00000342812	199	ANOS1	USP9Y
9606.ENSP00000262648	9606.ENSP00000342812	199	ANOS1	USP9Y
9606.ENSP00000322408	9606.ENSP00000342812	999	KDM5D	USP9Y
9606.ENSP00000322408	9606.ENSP00000342812	999	KDM5D	USP9Y
9606.ENSP00000331704	9606.ENSP00000342812	161	XKR3	USP9Y
9606.ENSP00000331704	9606.ENSP00000342812	161	XKR3	USP9Y
9606.ENSP00000242728	9606.ENSP00000344352	235	BHLHE41	ATF3
9606.ENSP00000242728	9606.ENSP00000344352	235	BHLHE41	ATF3
9606.ENSP00000278407	9606.ENSP00000344352	171	SERPING1	ATF3
9606.ENSP00000278407	9606.ENSP00000344352	171	SERPING1	ATF3
9606.ENSP00000301887	9606.ENSP00000344352	450	BATF2	ATF3
9606.ENSP00000301887	9606.ENSP00000344352	450	BATF2	ATF3
9606.ENSP00000313967	9606.ENSP00000344352	199	C1QB	ATF3
9606.ENSP00000313967	9606.ENSP00000344352	199	C1QB	ATF3
9606.ENSP00000265113	9606.ENSP00000344794	161	SLC1A3	MOCS1
9606.ENSP00000265113	9606.ENSP00000344794	161	SLC1A3	MOCS1
9606.ENSP00000216361	9606.ENSP00000346839	451	COCH	FN1
9606.ENSP00000216361	9606.ENSP00000346839	451	COCH	FN1
9606.ENSP00000222462	9606.ENSP00000346839	178	WNT16	FN1
9606.ENSP00000222462	9606.ENSP00000346839	178	WNT16	FN1
9606.ENSP00000242728	9606.ENSP00000346839	461	BHLHE41	FN1
9606.ENSP00000242728	9606.ENSP00000346839	461	BHLHE41	FN1
9606.ENSP00000262113	9606.ENSP00000346839	958	MYOM2	FN1
9606.ENSP00000262113	9606.ENSP00000346839	958	MYOM2	FN1
9606.ENSP00000262626	9606.ENSP00000346839	206	HPN	FN1
9606.ENSP00000262626	9606.ENSP00000346839	206	HPN	FN1
9606.ENSP00000262648	9606.ENSP00000346839	489	ANOS1	FN1
9606.ENSP00000262648	9606.ENSP00000346839	489	ANOS1	FN1
9606.ENSP00000264908	9606.ENSP00000346839	297	ANXA3	FN1
9606.ENSP00000264908	9606.ENSP00000346839	297	ANXA3	FN1
9606.ENSP00000265113	9606.ENSP00000346839	200	SLC1A3	FN1
9606.ENSP00000265113	9606.ENSP00000346839	200	SLC1A3	FN1
9606.ENSP00000273857	9606.ENSP00000346839	187	CORIN	FN1
9606.ENSP00000273857	9606.ENSP00000346839	187	CORIN	FN1
9606.ENSP00000278407	9606.ENSP00000346839	374	SERPING1	FN1
9606.ENSP00000278407	9606.ENSP00000346839	374	SERPING1	FN1
9606.ENSP00000313437	9606.ENSP00000346839	327	MMP19	FN1
9606.ENSP00000313437	9606.ENSP00000346839	327	MMP19	FN1
9606.ENSP00000313967	9606.ENSP00000346839	698	C1QB	FN1
9606.ENSP00000313967	9606.ENSP00000346839	698	C1QB	FN1
9606.ENSP00000334008	9606.ENSP00000346839	478	PARVA	FN1
9606.ENSP00000334008	9606.ENSP00000346839	478	PARVA	FN1
9606.ENSP00000344352	9606.ENSP00000346839	331	ATF3	FN1
9606.ENSP00000344352	9606.ENSP00000346839	331	ATF3	FN1
9606.ENSP00000344794	9606.ENSP00000347778	335	MOCS1	SLC26A8
9606.ENSP00000344794	9606.ENSP00000347778	335	MOCS1	SLC26A8
9606.ENSP00000262113	9606.ENSP00000348170	174	MYOM2	HP
9606.ENSP00000262113	9606.ENSP00000348170	174	MYOM2	HP
9606.ENSP00000262626	9606.ENSP00000348170	225	HPN	HP
9606.ENSP00000262626	9606.ENSP00000348170	225	HPN	HP
9606.ENSP00000264908	9606.ENSP00000348170	247	ANXA3	HP
9606.ENSP00000264908	9606.ENSP00000348170	247	ANXA3	HP
9606.ENSP00000278407	9606.ENSP00000348170	645	SERPING1	HP
9606.ENSP00000278407	9606.ENSP00000348170	645	SERPING1	HP
9606.ENSP00000313967	9606.ENSP00000348170	236	C1QB	HP
9606.ENSP00000313967	9606.ENSP00000348170	236	C1QB	HP
9606.ENSP00000328230	9606.ENSP00000348170	240	FFAR3	HP
9606.ENSP00000328230	9606.ENSP00000348170	240	FFAR3	HP
9606.ENSP00000346839	9606.ENSP00000348170	646	FN1	HP
9606.ENSP00000346839	9606.ENSP00000348170	646	FN1	HP
9606.ENSP00000301887	9606.ENSP00000349365	161	BATF2	IL27
9606.ENSP00000301887	9606.ENSP00000349365	161	BATF2	IL27
9606.ENSP00000328230	9606.ENSP00000349365	168	FFAR3	IL27
9606.ENSP00000328230	9606.ENSP00000349365	168	FFAR3	IL27
9606.ENSP00000262113	9606.ENSP00000349588	188	MYOM2	ANK2
9606.ENSP00000262113	9606.ENSP00000349588	188	MYOM2	ANK2
9606.ENSP00000265113	9606.ENSP00000349588	240	SLC1A3	ANK2
9606.ENSP00000265113	9606.ENSP00000349588	240	SLC1A3	ANK2
9606.ENSP00000334008	9606.ENSP00000349588	480	PARVA	ANK2
9606.ENSP00000334008	9606.ENSP00000349588	480	PARVA	ANK2
9606.ENSP00000346839	9606.ENSP00000349588	481	FN1	ANK2
9606.ENSP00000346839	9606.ENSP00000349588	481	FN1	ANK2
9606.ENSP00000347778	9606.ENSP00000349588	187	SLC26A8	ANK2
9606.ENSP00000347778	9606.ENSP00000349588	187	SLC26A8	ANK2
9606.ENSP00000348170	9606.ENSP00000349588	159	HP	ANK2
9606.ENSP00000348170	9606.ENSP00000349588	159	HP	ANK2
9606.ENSP00000330200	9606.ENSP00000351770	223	BTNL9	FHAD1
9606.ENSP00000330200	9606.ENSP00000351770	223	BTNL9	FHAD1
9606.ENSP00000272224	9606.ENSP00000352172	216	GDF7	VSIG10
9606.ENSP00000272224	9606.ENSP00000352172	216	GDF7	VSIG10
9606.ENSP00000155093	9606.ENSP00000353284	973	ZFY	DDX3Y
9606.ENSP00000155093	9606.ENSP00000353284	973	ZFY	DDX3Y
9606.ENSP00000250784	9606.ENSP00000353284	963	RPS4Y1	DDX3Y
9606.ENSP00000250784	9606.ENSP00000353284	963	RPS4Y1	DDX3Y
9606.ENSP00000262648	9606.ENSP00000353284	175	ANOS1	DDX3Y
9606.ENSP00000262648	9606.ENSP00000353284	175	ANOS1	DDX3Y
9606.ENSP00000322408	9606.ENSP00000353284	999	KDM5D	DDX3Y
9606.ENSP00000322408	9606.ENSP00000353284	999	KDM5D	DDX3Y
9606.ENSP00000342812	9606.ENSP00000353284	999	USP9Y	DDX3Y
9606.ENSP00000342812	9606.ENSP00000353284	999	USP9Y	DDX3Y
9606.ENSP00000155093	9606.ENSP00000354722	965	ZFY	EIF1AY
9606.ENSP00000155093	9606.ENSP00000354722	965	ZFY	EIF1AY
9606.ENSP00000216361	9606.ENSP00000354722	263	COCH	EIF1AY
9606.ENSP00000216361	9606.ENSP00000354722	263	COCH	EIF1AY
9606.ENSP00000250784	9606.ENSP00000354722	999	RPS4Y1	EIF1AY
9606.ENSP00000250784	9606.ENSP00000354722	999	RPS4Y1	EIF1AY
9606.ENSP00000280190	9606.ENSP00000354722	194	WDR17	EIF1AY
9606.ENSP00000280190	9606.ENSP00000354722	194	WDR17	EIF1AY
9606.ENSP00000322408	9606.ENSP00000354722	999	KDM5D	EIF1AY
9606.ENSP00000322408	9606.ENSP00000354722	999	KDM5D	EIF1AY
9606.ENSP00000342812	9606.ENSP00000354722	999	USP9Y	EIF1AY
9606.ENSP00000342812	9606.ENSP00000354722	999	USP9Y	EIF1AY
9606.ENSP00000353284	9606.ENSP00000354722	999	DDX3Y	EIF1AY
9606.ENSP00000353284	9606.ENSP00000354722	999	DDX3Y	EIF1AY
9606.ENSP00000219207	9606.ENSP00000354874	205	PLLP	SEPTIN4
9606.ENSP00000219207	9606.ENSP00000354874	205	PLLP	SEPTIN4
9606.ENSP00000265113	9606.ENSP00000354874	227	SLC1A3	SEPTIN4
9606.ENSP00000265113	9606.ENSP00000354874	227	SLC1A3	SEPTIN4
9606.ENSP00000278407	9606.ENSP00000354874	281	SERPING1	SEPTIN4
9606.ENSP00000278407	9606.ENSP00000354874	281	SERPING1	SEPTIN4
9606.ENSP00000301887	9606.ENSP00000354874	294	BATF2	SEPTIN4
9606.ENSP00000301887	9606.ENSP00000354874	294	BATF2	SEPTIN4
9606.ENSP00000313967	9606.ENSP00000354874	172	C1QB	SEPTIN4
9606.ENSP00000313967	9606.ENSP00000354874	172	C1QB	SEPTIN4
9606.ENSP00000341843	9606.ENSP00000354874	298	ETV7	SEPTIN4
9606.ENSP00000341843	9606.ENSP00000354874	298	ETV7	SEPTIN4
9606.ENSP00000347778	9606.ENSP00000354874	454	SLC26A8	SEPTIN4
9606.ENSP00000347778	9606.ENSP00000354874	454	SLC26A8	SEPTIN4
9606.ENSP00000349588	9606.ENSP00000354874	216	ANK2	SEPTIN4
9606.ENSP00000349588	9606.ENSP00000354874	216	ANK2	SEPTIN4
9606.ENSP00000349588	9606.ENSP00000355133	311	ANK2	NOS1AP
9606.ENSP00000349588	9606.ENSP00000355133	311	ANK2	NOS1AP
9606.ENSP00000352172	9606.ENSP00000355133	241	VSIG10	NOS1AP
9606.ENSP00000352172	9606.ENSP00000355133	241	VSIG10	NOS1AP
9606.ENSP00000262648	9606.ENSP00000355155	213	ANOS1	GRIN3A
9606.ENSP00000262648	9606.ENSP00000355155	213	ANOS1	GRIN3A
9606.ENSP00000265113	9606.ENSP00000355155	429	SLC1A3	GRIN3A
9606.ENSP00000265113	9606.ENSP00000355155	429	SLC1A3	GRIN3A
9606.ENSP00000273857	9606.ENSP00000355155	222	CORIN	GRIN3A
9606.ENSP00000273857	9606.ENSP00000355155	222	CORIN	GRIN3A
9606.ENSP00000341843	9606.ENSP00000355155	163	ETV7	GRIN3A
9606.ENSP00000341843	9606.ENSP00000355155	163	ETV7	GRIN3A
9606.ENSP00000355133	9606.ENSP00000355155	221	NOS1AP	GRIN3A
9606.ENSP00000355133	9606.ENSP00000355155	221	NOS1AP	GRIN3A
9606.ENSP00000273857	9606.ENSP00000355631	234	CORIN	OTX1
9606.ENSP00000273857	9606.ENSP00000355631	234	CORIN	OTX1
9606.ENSP00000278407	9606.ENSP00000356037	535	SERPING1	C4BPA
9606.ENSP00000278407	9606.ENSP00000356037	535	SERPING1	C4BPA
9606.ENSP00000313967	9606.ENSP00000356037	482	C1QB	C4BPA
9606.ENSP00000313967	9606.ENSP00000356037	482	C1QB	C4BPA
9606.ENSP00000346839	9606.ENSP00000356037	245	FN1	C4BPA
9606.ENSP00000346839	9606.ENSP00000356037	245	FN1	C4BPA
9606.ENSP00000348170	9606.ENSP00000356037	519	HP	C4BPA
9606.ENSP00000348170	9606.ENSP00000356037	519	HP	C4BPA
9606.ENSP00000349588	9606.ENSP00000356545	569	ANK2	CACNA1E
9606.ENSP00000349588	9606.ENSP00000356545	569	ANK2	CACNA1E
9606.ENSP00000355155	9606.ENSP00000356545	237	GRIN3A	CACNA1E
9606.ENSP00000355155	9606.ENSP00000356545	237	GRIN3A	CACNA1E
9606.ENSP00000346839	9606.ENSP00000356940	186	FN1	MOXD1
9606.ENSP00000346839	9606.ENSP00000356940	186	FN1	MOXD1
9606.ENSP00000348170	9606.ENSP00000356940	349	HP	MOXD1
9606.ENSP00000348170	9606.ENSP00000356940	349	HP	MOXD1
9606.ENSP00000344794	9606.ENSP00000357920	169	MOCS1	DDO
9606.ENSP00000344794	9606.ENSP00000357920	169	MOCS1	DDO
9606.ENSP00000356940	9606.ENSP00000357920	210	MOXD1	DDO
9606.ENSP00000356940	9606.ENSP00000357920	210	MOXD1	DDO
9606.ENSP00000273857	9606.ENSP00000358165	157	CORIN	FCGR1A
9606.ENSP00000273857	9606.ENSP00000358165	157	CORIN	FCGR1A
9606.ENSP00000278407	9606.ENSP00000358165	401	SERPING1	FCGR1A
9606.ENSP00000278407	9606.ENSP00000358165	401	SERPING1	FCGR1A
9606.ENSP00000289707	9606.ENSP00000358165	298	SLAMF8	FCGR1A
9606.ENSP00000289707	9606.ENSP00000358165	298	SLAMF8	FCGR1A
9606.ENSP00000301887	9606.ENSP00000358165	420	BATF2	FCGR1A
9606.ENSP00000301887	9606.ENSP00000358165	420	BATF2	FCGR1A
9606.ENSP00000313967	9606.ENSP00000358165	511	C1QB	FCGR1A
9606.ENSP00000313967	9606.ENSP00000358165	511	C1QB	FCGR1A
9606.ENSP00000318982	9606.ENSP00000358165	180	EPSTI1	FCGR1A
9606.ENSP00000318982	9606.ENSP00000358165	180	EPSTI1	FCGR1A
9606.ENSP00000341843	9606.ENSP00000358165	280	ETV7	FCGR1A
9606.ENSP00000341843	9606.ENSP00000358165	280	ETV7	FCGR1A
9606.ENSP00000346839	9606.ENSP00000358165	503	FN1	FCGR1A
9606.ENSP00000346839	9606.ENSP00000358165	503	FN1	FCGR1A
9606.ENSP00000348170	9606.ENSP00000358165	351	HP	FCGR1A
9606.ENSP00000348170	9606.ENSP00000358165	351	HP	FCGR1A
9606.ENSP00000349365	9606.ENSP00000358165	224	IL27	FCGR1A
9606.ENSP00000349365	9606.ENSP00000358165	224	IL27	FCGR1A
9606.ENSP00000354874	9606.ENSP00000358165	190	SEPTIN4	FCGR1A
9606.ENSP00000354874	9606.ENSP00000358165	190	SEPTIN4	FCGR1A
9606.ENSP00000278407	9606.ENSP00000359485	282	SERPING1	GBP6
9606.ENSP00000278407	9606.ENSP00000359485	282	SERPING1	GBP6
9606.ENSP00000289707	9606.ENSP00000359485	157	SLAMF8	GBP6
9606.ENSP00000289707	9606.ENSP00000359485	157	SLAMF8	GBP6
9606.ENSP00000301887	9606.ENSP00000359485	263	BATF2	GBP6
9606.ENSP00000301887	9606.ENSP00000359485	263	BATF2	GBP6
9606.ENSP00000313967	9606.ENSP00000359485	194	C1QB	GBP6
9606.ENSP00000313967	9606.ENSP00000359485	194	C1QB	GBP6
9606.ENSP00000341843	9606.ENSP00000359485	214	ETV7	GBP6
9606.ENSP00000341843	9606.ENSP00000359485	214	ETV7	GBP6
9606.ENSP00000354874	9606.ENSP00000359485	197	SEPTIN4	GBP6
9606.ENSP00000354874	9606.ENSP00000359485	197	SEPTIN4	GBP6
9606.ENSP00000358165	9606.ENSP00000359485	236	FCGR1A	GBP6
9606.ENSP00000358165	9606.ENSP00000359485	236	FCGR1A	GBP6
9606.ENSP00000278407	9606.ENSP00000359488	458	SERPING1	GBP5
9606.ENSP00000278407	9606.ENSP00000359488	458	SERPING1	GBP5
9606.ENSP00000289707	9606.ENSP00000359488	428	SLAMF8	GBP5
9606.ENSP00000289707	9606.ENSP00000359488	428	SLAMF8	GBP5
9606.ENSP00000301887	9606.ENSP00000359488	806	BATF2	GBP5
9606.ENSP00000301887	9606.ENSP00000359488	806	BATF2	GBP5
9606.ENSP00000313967	9606.ENSP00000359488	334	C1QB	GBP5
9606.ENSP00000313967	9606.ENSP00000359488	334	C1QB	GBP5
9606.ENSP00000318982	9606.ENSP00000359488	698	EPSTI1	GBP5
9606.ENSP00000318982	9606.ENSP00000359488	698	EPSTI1	GBP5
9606.ENSP00000338260	9606.ENSP00000359488	214	APOL4	GBP5
9606.ENSP00000338260	9606.ENSP00000359488	214	APOL4	GBP5
9606.ENSP00000341843	9606.ENSP00000359488	612	ETV7	GBP5
9606.ENSP00000341843	9606.ENSP00000359488	612	ETV7	GBP5
9606.ENSP00000344352	9606.ENSP00000359488	156	ATF3	GBP5
9606.ENSP00000344352	9606.ENSP00000359488	156	ATF3	GBP5
9606.ENSP00000354874	9606.ENSP00000359488	200	SEPTIN4	GBP5
9606.ENSP00000354874	9606.ENSP00000359488	200	SEPTIN4	GBP5
9606.ENSP00000358165	9606.ENSP00000359488	489	FCGR1A	GBP5
9606.ENSP00000358165	9606.ENSP00000359488	489	FCGR1A	GBP5
9606.ENSP00000359485	9606.ENSP00000359488	158	GBP6	GBP5
9606.ENSP00000359485	9606.ENSP00000359488	158	GBP6	GBP5
9606.ENSP00000278407	9606.ENSP00000359504	592	SERPING1	GBP1
9606.ENSP00000278407	9606.ENSP00000359504	592	SERPING1	GBP1
9606.ENSP00000289707	9606.ENSP00000359504	219	SLAMF8	GBP1
9606.ENSP00000289707	9606.ENSP00000359504	219	SLAMF8	GBP1
9606.ENSP00000301887	9606.ENSP00000359504	662	BATF2	GBP1
9606.ENSP00000301887	9606.ENSP00000359504	662	BATF2	GBP1
9606.ENSP00000313967	9606.ENSP00000359504	330	C1QB	GBP1
9606.ENSP00000313967	9606.ENSP00000359504	330	C1QB	GBP1
9606.ENSP00000318982	9606.ENSP00000359504	780	EPSTI1	GBP1
9606.ENSP00000318982	9606.ENSP00000359504	780	EPSTI1	GBP1
9606.ENSP00000341843	9606.ENSP00000359504	564	ETV7	GBP1
9606.ENSP00000341843	9606.ENSP00000359504	564	ETV7	GBP1
9606.ENSP00000344352	9606.ENSP00000359504	191	ATF3	GBP1
9606.ENSP00000344352	9606.ENSP00000359504	191	ATF3	GBP1
9606.ENSP00000354874	9606.ENSP00000359504	166	SEPTIN4	GBP1
9606.ENSP00000354874	9606.ENSP00000359504	166	SEPTIN4	GBP1
9606.ENSP00000358165	9606.ENSP00000359504	433	FCGR1A	GBP1
9606.ENSP00000358165	9606.ENSP00000359504	433	FCGR1A	GBP1
9606.ENSP00000359485	9606.ENSP00000359504	177	GBP6	GBP1
9606.ENSP00000359485	9606.ENSP00000359504	177	GBP6	GBP1
9606.ENSP00000359488	9606.ENSP00000359504	908	GBP5	GBP1
9606.ENSP00000359488	9606.ENSP00000359504	908	GBP5	GBP1
9606.ENSP00000222462	9606.ENSP00000360120	302	WNT16	ROR1
9606.ENSP00000222462	9606.ENSP00000360120	302	WNT16	ROR1
9606.ENSP00000273857	9606.ENSP00000360120	161	CORIN	ROR1
9606.ENSP00000273857	9606.ENSP00000360120	161	CORIN	ROR1
9606.ENSP00000355155	9606.ENSP00000360120	173	GRIN3A	ROR1
9606.ENSP00000355155	9606.ENSP00000360120	173	GRIN3A	ROR1
9606.ENSP00000358165	9606.ENSP00000360120	160	FCGR1A	ROR1
9606.ENSP00000358165	9606.ENSP00000360120	160	FCGR1A	ROR1
9606.ENSP00000155093	9606.ENSP00000360998	170	ZFY	ANKRD22
9606.ENSP00000155093	9606.ENSP00000360998	170	ZFY	ANKRD22
9606.ENSP00000219207	9606.ENSP00000360998	311	PLLP	ANKRD22
9606.ENSP00000219207	9606.ENSP00000360998	311	PLLP	ANKRD22
9606.ENSP00000262626	9606.ENSP00000360998	206	HPN	ANKRD22
9606.ENSP00000262626	9606.ENSP00000360998	206	HPN	ANKRD22
9606.ENSP00000278407	9606.ENSP00000360998	377	SERPING1	ANKRD22
9606.ENSP00000278407	9606.ENSP00000360998	377	SERPING1	ANKRD22
9606.ENSP00000289707	9606.ENSP00000360998	422	SLAMF8	ANKRD22
9606.ENSP00000289707	9606.ENSP00000360998	422	SLAMF8	ANKRD22
9606.ENSP00000301887	9606.ENSP00000360998	710	BATF2	ANKRD22
9606.ENSP00000301887	9606.ENSP00000360998	710	BATF2	ANKRD22
9606.ENSP00000313967	9606.ENSP00000360998	293	C1QB	ANKRD22
9606.ENSP00000313967	9606.ENSP00000360998	293	C1QB	ANKRD22
9606.ENSP00000318982	9606.ENSP00000360998	240	EPSTI1	ANKRD22
9606.ENSP00000318982	9606.ENSP00000360998	240	EPSTI1	ANKRD22
9606.ENSP00000330200	9606.ENSP00000360998	167	BTNL9	ANKRD22
9606.ENSP00000330200	9606.ENSP00000360998	167	BTNL9	ANKRD22
9606.ENSP00000331242	9606.ENSP00000360998	173	KREMEN1	ANKRD22
9606.ENSP00000331242	9606.ENSP00000360998	173	KREMEN1	ANKRD22
9606.ENSP00000338260	9606.ENSP00000360998	382	APOL4	ANKRD22
9606.ENSP00000338260	9606.ENSP00000360998	382	APOL4	ANKRD22
9606.ENSP00000341843	9606.ENSP00000360998	574	ETV7	ANKRD22
9606.ENSP00000341843	9606.ENSP00000360998	574	ETV7	ANKRD22
9606.ENSP00000347778	9606.ENSP00000360998	190	SLC26A8	ANKRD22
9606.ENSP00000347778	9606.ENSP00000360998	190	SLC26A8	ANKRD22
9606.ENSP00000353284	9606.ENSP00000360998	235	DDX3Y	ANKRD22
9606.ENSP00000353284	9606.ENSP00000360998	235	DDX3Y	ANKRD22
9606.ENSP00000354722	9606.ENSP00000360998	186	EIF1AY	ANKRD22
9606.ENSP00000354722	9606.ENSP00000360998	186	EIF1AY	ANKRD22
9606.ENSP00000354874	9606.ENSP00000360998	423	SEPTIN4	ANKRD22
9606.ENSP00000354874	9606.ENSP00000360998	423	SEPTIN4	ANKRD22
9606.ENSP00000358165	9606.ENSP00000360998	477	FCGR1A	ANKRD22
9606.ENSP00000358165	9606.ENSP00000360998	477	FCGR1A	ANKRD22
9606.ENSP00000359485	9606.ENSP00000360998	314	GBP6	ANKRD22
9606.ENSP00000359485	9606.ENSP00000360998	314	GBP6	ANKRD22
9606.ENSP00000359488	9606.ENSP00000360998	573	GBP5	ANKRD22
9606.ENSP00000359488	9606.ENSP00000360998	573	GBP5	ANKRD22
9606.ENSP00000359504	9606.ENSP00000360998	358	GBP1	ANKRD22
9606.ENSP00000359504	9606.ENSP00000360998	358	GBP1	ANKRD22
9606.ENSP00000242728	9606.ENSP00000362328	223	BHLHE41	KCNK17
9606.ENSP00000242728	9606.ENSP00000362328	223	BHLHE41	KCNK17
9606.ENSP00000321386	9606.ENSP00000362328	231	FBXO39	KCNK17
9606.ENSP00000321386	9606.ENSP00000362328	231	FBXO39	KCNK17
9606.ENSP00000347778	9606.ENSP00000362328	341	SLC26A8	KCNK17
9606.ENSP00000347778	9606.ENSP00000362328	341	SLC26A8	KCNK17
9606.ENSP00000355133	9606.ENSP00000362328	178	NOS1AP	KCNK17
9606.ENSP00000355133	9606.ENSP00000362328	178	NOS1AP	KCNK17
9606.ENSP00000265113	9606.ENSP00000363770	150	SLC1A3	C1QC
9606.ENSP00000265113	9606.ENSP00000363770	150	SLC1A3	C1QC
9606.ENSP00000278407	9606.ENSP00000363770	959	SERPING1	C1QC
9606.ENSP00000278407	9606.ENSP00000363770	959	SERPING1	C1QC
9606.ENSP00000289707	9606.ENSP00000363770	478	SLAMF8	C1QC
9606.ENSP00000289707	9606.ENSP00000363770	478	SLAMF8	C1QC
9606.ENSP00000301887	9606.ENSP00000363770	198	BATF2	C1QC
9606.ENSP00000301887	9606.ENSP00000363770	198	BATF2	C1QC
9606.ENSP00000313437	9606.ENSP00000363770	177	MMP19	C1QC
9606.ENSP00000313437	9606.ENSP00000363770	177	MMP19	C1QC
9606.ENSP00000313967	9606.ENSP00000363770	999	C1QB	C1QC
9606.ENSP00000313967	9606.ENSP00000363770	999	C1QB	C1QC
